subj_idx,isblow,pump_idx,choice,reward,reaction_time,trial,HE,PCPP
783311.0,0.0,1.0,1.0,1.0,655.0,1.0,0.0,0.0
783311.0,0.0,2.0,1.0,2.0,417.0,1.0,0.0,0.0
783311.0,0.0,3.0,1.0,3.0,395.0,1.0,0.0,0.0
783311.0,0.0,4.0,1.0,4.0,446.0,1.0,0.0,0.0
783311.0,0.0,5.0,1.0,5.0,344.0,1.0,0.0,1.0
783311.0,1.0,6.0,1.0,0.0,305.0,1.0,0.0,0.0
783311.0,0.0,1.0,1.0,1.0,560.0,2.0,5.0,0.0
783311.0,0.0,2.0,1.0,2.0,315.0,2.0,5.0,0.0
783311.0,0.0,3.0,1.0,3.0,408.0,2.0,5.0,0.0
783311.0,0.0,4.0,1.0,4.0,297.0,2.0,5.0,0.0
783311.0,0.0,5.0,1.0,5.0,472.0,2.0,5.0,2.0
783311.0,0.0,6.0,0.0,6.0,383.0,2.0,5.0,0.0
783311.0,0.0,1.0,1.0,1.0,621.0,3.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,451.0,3.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,374.0,3.0,3.0,0.0
783311.0,0.0,4.0,1.0,4.0,554.0,3.0,3.0,0.0
783311.0,0.0,5.0,1.0,5.0,315.0,3.0,3.0,2.0
783311.0,0.0,6.0,0.0,6.0,338.0,3.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,770.0,4.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,396.0,4.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,498.0,4.0,3.0,0.0
783311.0,0.0,4.0,1.0,4.0,595.0,4.0,3.0,1.0
783311.0,1.0,5.0,1.0,0.0,1021.0,4.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,1097.0,5.0,5.0,0.0
783311.0,0.0,2.0,1.0,2.0,582.0,5.0,5.0,0.0
783311.0,0.0,3.0,1.0,3.0,465.0,5.0,5.0,0.0
783311.0,0.0,4.0,1.0,4.0,356.0,5.0,5.0,2.0
783311.0,0.0,5.0,0.0,5.0,721.0,5.0,5.0,0.0
783311.0,0.0,1.0,1.0,1.0,738.0,6.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,394.0,6.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,420.0,6.0,3.0,0.0
783311.0,0.0,4.0,1.0,4.0,676.0,6.0,3.0,2.0
783311.0,0.0,5.0,0.0,5.0,420.0,6.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,472.0,7.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,297.0,7.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,2939.0,7.0,3.0,2.0
783311.0,0.0,4.0,0.0,4.0,539.0,7.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,2179.0,8.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,490.0,8.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,398.0,8.0,3.0,2.0
783311.0,0.0,4.0,0.0,4.0,378.0,8.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,841.0,9.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,742.0,9.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,324.0,9.0,3.0,2.0
783311.0,0.0,4.0,0.0,4.0,332.0,9.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,531.0,10.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,419.0,10.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,510.0,10.0,3.0,2.0
783311.0,0.0,4.0,0.0,4.0,1175.0,10.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,668.0,11.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,485.0,11.0,3.0,2.0
783311.0,0.0,3.0,0.0,3.0,505.0,11.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,622.0,12.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,546.0,12.0,3.0,1.0
783311.0,1.0,3.0,1.0,0.0,383.0,12.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,1901.0,13.0,5.0,0.0
783311.0,1.0,2.0,1.0,0.0,525.0,13.0,5.0,0.0
783311.0,0.0,1.0,1.0,1.0,1203.0,14.0,5.0,0.0
783311.0,0.0,2.0,1.0,2.0,420.0,14.0,5.0,2.0
783311.0,0.0,3.0,0.0,3.0,368.0,14.0,5.0,0.0
783311.0,0.0,1.0,1.0,1.0,477.0,15.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,487.0,15.0,3.0,2.0
783311.0,0.0,3.0,0.0,3.0,306.0,15.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,454.0,16.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,432.0,16.0,3.0,2.0
783311.0,0.0,3.0,0.0,3.0,261.0,16.0,3.0,0.0
783311.0,0.0,1.0,1.0,1.0,1261.0,17.0,3.0,0.0
783311.0,0.0,2.0,1.0,2.0,917.0,17.0,3.0,0.0
783311.0,0.0,3.0,1.0,3.0,480.0,17.0,3.0,0.0
783411.0,0.0,1.0,1.0,1.0,1546.0,1.0,0.0,0.0
783411.0,0.0,2.0,1.0,2.0,539.0,1.0,0.0,0.0
783411.0,0.0,3.0,1.0,3.0,759.0,1.0,0.0,0.0
783411.0,0.0,4.0,1.0,4.0,517.0,1.0,0.0,0.0
783411.0,0.0,5.0,1.0,5.0,452.0,1.0,0.0,0.0
783411.0,0.0,6.0,1.0,6.0,1195.0,1.0,0.0,1.0
783411.0,1.0,7.0,1.0,0.0,400.0,1.0,0.0,0.0
783411.0,0.0,1.0,1.0,1.0,454.0,2.0,5.0,0.0
783411.0,0.0,2.0,1.0,2.0,402.0,2.0,5.0,0.0
783411.0,0.0,3.0,1.0,3.0,589.0,2.0,5.0,0.0
783411.0,0.0,4.0,1.0,4.0,451.0,2.0,5.0,0.0
783411.0,0.0,5.0,1.0,5.0,487.0,2.0,5.0,0.0
783411.0,0.0,6.0,1.0,6.0,654.0,2.0,5.0,2.0
783411.0,0.0,7.0,0.0,7.0,986.0,2.0,5.0,0.0
783411.0,0.0,1.0,1.0,1.0,545.0,3.0,3.0,0.0
783411.0,0.0,2.0,1.0,2.0,442.0,3.0,3.0,0.0
783411.0,0.0,3.0,1.0,3.0,640.0,3.0,3.0,0.0
783411.0,0.0,4.0,1.0,4.0,479.0,3.0,3.0,0.0
783411.0,0.0,5.0,1.0,5.0,395.0,3.0,3.0,0.0
